epoch,train_loss,validation_loss,validation_accuracy
1,1.7622841450779072,1.177556993748538,0.9063752276867031
2,0.7808053039927486,0.6337904245258463,0.9067395264116576
3,0.5873225809632568,0.6398838524827106,0.8834244080145719
4,0.5118149566473578,0.5321984345795678,0.930783242258652
5,0.45579443397603864,0.5385895798983686,0.9151183970856102
6,0.4396523821572602,0.4785607859953722,0.9256830601092896
7,0.42109814812483776,0.521278972182769,0.9387978142076503
8,0.3972392738749514,0.5186053716419824,0.9351548269581057
9,0.3805276342986804,0.44242359002431236,0.9449908925318762
10,0.37028922859250707,0.4953433068940765,0.9366120218579235
11,0.3680563073154542,0.4788892680395713,0.940983606557377
12,0.36882663284029277,0.4714473819472099,0.941712204007286
13,0.3623723007686244,0.48528796371432165,0.9504553734061931
14,0.33645873116641933,0.444715972719731,0.9493624772313297
15,0.3399019580186111,0.45236613750457766,0.9486338797814208
16,0.3350725056648627,0.5748367746019624,0.9395264116575592
